Property-level Amenities,
Internet,
Code,DetailCodes Permitted
WIFI_INTERNET,FREE
WIFI_INTERNET,SURCHARGE
WIFI_INTERNET,SURCHARGE_AMT
WIFI_INTERNET,SURCHARGE_PER_STAY
WIFI_INTERNET,SURCHARGE_PER_NIGHT
WIFI_INTERNET,SURCHARGE_PER_DAY
WIFI_INTERNET,SURCHARGE_PER_WEEK
WIFI_INTERNET,SURCHARGE_PER_MINUTE
WIFI_INTERNET,SURCHARGE_PER_HOUR
WIFI_INTERNET,SURCHARGE_PER_24HOUR_PERIOD
WIFI_INTERNET,SURCHARGE_PER_MULTIPLE_HOURS
WIFI_INTERNET,SURCHARGE_PER_MULTIPLE_MINUTES
WIRED_INTERNET,FREE
WIRED_INTERNET,SURCHARGE
WIRED_INTERNET,SURCHARGE_AMT
WIRED_INTERNET,SURCHARGE_PER_STAY
WIRED_INTERNET,SURCHARGE_PER_NIGHT
WIRED_INTERNET,SURCHARGE_PER_DAY
WIRED_INTERNET,SURCHARGE_PER_WEEK
WIRED_INTERNET,SURCHARGE_PER_MINUTE
WIRED_INTERNET,SURCHARGE_PER_HOUR
WIRED_INTERNET,SURCHARGE_PER_24HOUR_PERIOD
WIRED_INTERNET,SURCHARGE_PER_MULTIPLE_HOURS
WIRED_INTERNET,SURCHARGE_PER_MULTIPLE_MINUTES
,
Children,
Code,DetailCodes Permitted
BABYSITTING,FREE
BABYSITTING,SURCHARGE
BABYSITTING,GENERIC
CHILDRENS_CLUB,FREE
CHILDRENS_CLUB,SURCHARGE
CHILDRENS_CLUB,GENERIC
PLAYGROUND,
SUPERVISED_ACTIVITIES,FREE
SUPERVISED_ACTIVITIES,SURCHARGE
SUPERVISED_ACTIVITIES,GENERIC
,
Accessibility,
Code,DetailCodes Permitted
ACCESSIBLE_BATHROOM,
BRAILLE_SIGNAGE,
EQUIPMENT_FOR_DEAF,
ACCESSIBLE_ROOMS,
ACCESSIBLE_PARKING,
ACCESSIBLE_PATH_OF_TRAVEL,
ROLL_IN_SHOWER,
ELEVATOR,NO_ELEVATOR_ONSITE
,
Business,
Code,DetailCodes Permitted
BUSINESS_CENTER,AVAILABLE_24HOURS
BUSINESS_CENTER,GENERIC
CONFERENCE_ROOMS,MULTIPLE
CONFERENCE_ROOMS,SINGULAR
CONFERENCE_SPACE,SQ_FEET
CONFERENCE_SPACE,SQ_METERS 
CONFERENCE_SPACE,GENERIC
NEWSPAPERS_IN_LOBBY,FREE
NEWSPAPERS_IN_LOBBY,SURCHARGE
COMPUTER_STATION,
,
Dining / Breakfast,
Code,DetailCodes Permitted
LOUNGE,MULTIPLE
LOUNGE,SINGULAR
BREAKFAST,FREE
BREAKFAST,SURCHARGE
BREAKFAST,FEE
COFFEE_SHOP,MULTIPLE
COFFEE_SHOP,SINGULAR
RESTAURANT,MULTIPLE
RESTAURANT,SINGULAR
BREAKFAST_HOURS_START_TIME,
BREAKFAST_HOURS_END_TIME,
,
Fitness & Wellness,
Code,DetailCodes Permitted
FITNESS_FACILITIES,AVAILABLE_24HOURS
FITNESS_FACILITIES,GENERIC
HEALTH_CLUB,AVAILABLE_24HOURS
HEALTH_CLUB,GENERIC
SPA,AROMATHERAPY
SPA,AYURVEDIC
SPA,BODY_SCRUBS
SPA,BODY_TREATMENTS
SPA,BODY_WRAPS
SPA,FACIAL_TREATMENTS
SPA,HYDROTHERAPY
SPA,NUMBER_OF_SPA_ROOMS
SPA,COUPLES_SPA_ROOMS
SPA,OUTDOOR_TREATMENT_AREA
SPA,THALASSOTHERAPY
SPA,TURKISH_BATH
SPA,DETOXIFICATION_WRAP
SPA,REFLEXOLOGY
SPA,OPEN_DAILY
SPA,OPEN_SELECT_DAYS
SPA,HOT_SPRINGS
SPA,SAUNA_IN_SPA
SPA,MUD_BATH_IN_SPA
SPA,SPA_TUB_IN_SPA
SPA,STEAM_ROOM_IN_SPA
SPA,MIN_AGE_ALLOWED_IN_SPA
SPA,MIN_AGE_ALLOWED_IN_SPA_WITH_ADULT
SPA,ADVANCED_BOOKING
SPA,MANICURE_PEDICURE
FULL_SERVICE_SPA,
,
Guest Services,
Code,DetailCodes Permitted
CONCIERGE,
DRY_CLEANING,
LAUNDRY_FACILITIES,
LUGGAGE_STORAGE,
SAFE_DEPOSIT_AT_FRONT_DESK,
TOUR_ASSISTANCE,
GROCERY_SHOPPING_SERVICE,
GROCERY_STORE,
HAIR_SALON,
GIFT_SHOP_OR_NEWS,
BELLHOP_PORTER,
WEDDING_SERVICES,
ATM,
SHOPPING,ONSITE
,
Outdoor Areas,
Code,DetailCodes Permitted
BBQ_GRILLS,
GARDEN,
PICNIC_AREA,
TERRACE,TERRACE
TERRACE,ROOFTOP
MARINA,
,
Parking / Transport,
Code,DetailCodes Permitted
AIRPORT_SHUTTLE_TYPE,DROP_OFF_FREE
AIRPORT_SHUTTLE_TYPE,DROP_OFF_SURCHARGE
AIRPORT_SHUTTLE_TYPE,PICKUP_FREE
AIRPORT_SHUTTLE_TYPE,PICKUP_SURCHARGE
AIRPORT_SHUTTLE_TYPE,ROUNDTRIP_FREE
AIRPORT_SHUTTLE_TYPE,ROUNDTRIP_SURCHARGE
AIRPORT_SHUTTLE_TYPE,GENERIC
AIRPORT_SHUTTLE_TIME,AVAILABLE_24HOURS
AIRPORT_SHUTTLE_TIME,AVAILABLE_ONREQUEST
AIRPORT_SHUTTLE_TIME,AVAILABLE_DURING_SCHEDULED_TIMES
AIRPORT_SHUTTLE_TIME,CONTACT_PROPERTY_PRIOR_TO_ARRIVAL 
AIRPORT_SHUTTLE_FEE_ADULT,FEE_AMT
AIRPORT_SHUTTLE_FEE_ADULT,FEE_SCOPE_PER_PERSON
AIRPORT_SHUTTLE_FEE_ADULT,FEE_SCOPE_PER_ROOM
AIRPORT_SHUTTLE_FEE_ADULT,FEE_SCOPE_PER_VEHICLE
AIRPORT_SHUTTLE_FEE_ADULT,FEE_SCOPE_DURATION_ROUNDTRIP
AIRPORT_SHUTTLE_FEE_ADULT,FEE_SCOPE_DURATION_ONE_WAY
AIRPORT_SHUTTLE_FEE_CHILD,FEE_CHILD_AMT
AIRPORT_SHUTTLE_FEE_CHILD,FEE_CHILD_DURATION_ROUNDTRIP
AIRPORT_SHUTTLE_FEE_CHILD,FEE_CHILD_DURATION_ONE_WAY
AIRPORT_SHUTTLE_FEE_CHILD,FEE_CHILD_MIN_AGE
AIRPORT_SHUTTLE_FEE_CHILD,FEE_CHILD_MAX_AGE
AREA_SHUTTLE,FREE
AREA_SHUTTLE,SURCHARGE
AREA_SHUTTLE,GENERIC
AREA_SHUTTLE_DISTANCE,DISTANCE
AREA_SHUTTLE_DISTANCE,DISTANCE_TYPE_MILES
AREA_SHUTTLE_DISTANCE,DISTANCE_TYPE_KM
AREA_SHUTTLE_DISTANCE,DISTANCE_TYPE_METERS
SELF_PARKING,FREE
SELF_PARKING,SURCHARGE
SELF_PARKING,SURCHARGE_AMT
SELF_PARKING,SURCHARGE_PER_DAY
SELF_PARKING,SURCHARGE_PER_NIGHT
SELF_PARKING,SURCHARGE_PER_STAY
SELF_PARKING,SURCHARGE_PER_WEEK 
VALET_PARKING,FREE
VALET_PARKING,SURCHARGE
VALET_PARKING,SURCHARGE_AMT
VALET_PARKING,SURCHARGE_PER_DAY
VALET_PARKING,SURCHARGE_PER_NIGHT
VALET_PARKING,SURCHARGE_PER_STAY
VALET_PARKING,SURCHARGE_PER_WEEK
SKI_SHUTTLE,FREE
SKI_SHUTTLE,SURCHARGE 
EXTENDED_PARKING,FREE
EXTENDED_PARKING,SURCHARGE 
OFFSITE_PARKING,DISCOUNT_RATES_AVAILABLE
OFFSITE_PARKING,RESERVATIONS_REQUIRED
RV_PARKING,FREE
RV_PARKING,SURCHARGE
PARKING_HEIGHT_RESTRICTIONS,
PARKING_LIMITED_SPACES_AVAILABLE,
FREE_PARKING_NEARBY,
BEACH_SHUTTLE,FREE
BEACH_SHUTTLE,SURCHARGE
CRUISE_TERMINAL_SHUTTLE,FREE
CRUISE_TERMINAL_SHUTTLE,SURCHARGE
CRUISE_TERMINAL_SHUTTLE,CONTACT_PROPERTY_PRIOR_TO_ARRIVAL  
FERRY_TERMINAL_SHUTTLE,FREE
FERRY_TERMINAL_SHUTTLE,SURCHARGE
FERRY_TERMINAL_SHUTTLE,CONTACT_PROPERTY_PRIOR_TO_ARRIVAL  
LIMO_OR_TOWNCAR_SERVICE,
SHOPPING_CENTER_SHUTTLE,FREE
SHOPPING_CENTER_SHUTTLE,SURCHARGE
THEME_PARK_SHUTTLE,FREE
THEME_PARK_SHUTTLE,SURCHARGE
TRAIN_STATION_PICKUP_SERVICE,FREE
TRAIN_STATION_PICKUP_SERVICE,SURCHARGE
TRAIN_STATION_PICKUP_SERVICE,CONTACT_PROPERTY_PRIOR_TO_ARRIVAL  
MUST_CONTACT_PROPERTY_FOR_PICKUP,ONARRIVAL
MUST_CONTACT_PROPERTY_FOR_PICKUP,24_HOURS_PRIOR_TO_ARRIVAL
MUST_CONTACT_PROPERTY_FOR_PICKUP,48_HOURS_PRIOR_TO_ARRIVAL
MUST_CONTACT_PROPERTY_FOR_PICKUP,72_HOURS_PRIOR_TO_ARRIVAL
CASINO_SHUTTLE,FREE
CASINO_SHUTTLE,SURCHARGE
,
Pool,
Code,DetailCodes Permitted
POOL_CHILDRENS,
POOL_INDOOR,MULTIPLE
POOL_INDOOR,SINGULAR
POOL_OUTDOOR,MULTIPLE
POOL_OUTDOOR,SINGULAR
POOLSIDE_BAR,MULTIPLE
POOLSIDE_BAR,SINGULAR
,
Recreation,
Code,DetailCodes Permitted
BEACH_ACCESS,ON_PRIVATE_BEACH
BEACH_ACCESS,NEAR_PRIVATE_BEACH
BEACH_ACCESS,ON_PUBLIC_BEACH
BEACH_ACCESS,NEAR_PUBLIC_BEACH
BICYCLE_RENTALS,ONSITE_FREE
BICYCLE_RENTALS,ONSITE_SURCHARGE
BICYCLE_RENTALS,NEARBY_FREE
BICYCLE_RENTALS,NEARBY_SURCHARGE
SCUBA,ONSITE
GOLFING,ONSITE
GOLFING,ADJACENT
TENNIS_INDOOR,MULTIPLE
TENNIS_INDOOR,SINGLE
TENNIS_OUTDOOR,MULTIPLE_ONSITE
TENNIS_OUTDOOR,SINGLE
SKI_IN_OUT_ACCESS,
,
Entertainment,DetailCodes Permitted
CASINO,ONSITE
LIBRARY,
NIGHTCLUB,ONSITE
GAME_ROOM,
POOL_TABLE,
WINERY,
